entityid,Name,Phone,InPhoneBook,Denomination,Full_Address,Municipality,PostalCode,NBH_ID,NBH_MUNICIPALITY,Long,Lat
,Jehovah's Witnesses Kingdom Hall,905-646-0966,Yes,Jehovah's Witnesses,503 Linwell Road ,City of St. Catharines,L2M2R2,ST15,St. Catharines,-79.2122181719001,43.2053322347697
,Holy Trinity Church,905-295-3212,Yes,Anglican,7820 Portage Road ,City of Niagara Falls,L2G6T8,NF4,Niagara Falls,-79.0573339050337,43.0625479482441
,Immanuel Baptist Church,905-646-0886,Yes,Baptist,71 Parnell Road ,City of St. Catharines,L2M3V4,ST18,St. Catharines,-79.2322426021065,43.2073056601569
,Wellandport Orthodox Reformed Church,905-386-0156,Yes,Reformed,74094 Wellandport Road ,Township of Wainfleet,L0R2J0,WF1,Wainfleet,-79.4806821084544,42.9977699684181
,Concordia Lutheran Church,905-892-8877,Yes,Lutheran,105 Quaker Road ,Town of Pelham,L0S1E0,PE3,Pelham,-79.2859343330092,43.0225538586318
,Thorold South Gospel Chapel,905-227-0310,Yes,Salvation Army,319 Davis Street ,City of Thorold,L2T1X8,TH1,Thorold,-79.193535378415,43.0995728257245
,King Street Regular Baptist Church,Not Available,No,Baptist,613 King Street ,City of Port Colborne,L3K4H5,PC2,Port Colborne,-79.2517293522548,42.8941396724769
,Carleton United Church,905-646-0857,Yes,United,527 Carlton Street ,City of St. Catharines,L2M4X6,ST14,St. Catharines,-79.2154564277918,43.1849847339182
,Falls View Brethren in Christ Church,905-374-2614,Yes,Brethren in Christ,7189 Drummond Road ,City of Niagara Falls,L2G4P7,NF3,Niagara Falls,-79.0974325321778,43.0712527702423
,First Baptist Church,905-227-1922,Yes,Baptist,42 Ormond Street South,City of Thorold,L2V2K5,TH2,Thorold,-79.1985553283692,43.1217848093873
,St. Barnabas Church,905-684-6421,Yes,Anglican,31 Queenston Street ,City of St. Catharines,L2R2Y8,ST9,St. Catharines,-79.238014331263,43.1630410278649
,Grassie Gospel Church,905-643-2624,Yes,Gospel,496 Alway Road ,Town of Grimsby,L0R1M0,GR1,Grimsby,-79.6253763413407,43.1582296005528
,Wesley United Church,905-735-5912,Yes,United,244 First Avenue ,City of Welland,L3C1Y8,WD9,Welland,-79.2592080257606,43.0058007231958
,St. John's Anglican Church,905-894-3350,Yes,Anglican,2251 Ridgemount Road ,Town of Fort Erie,L0S1N0,FE1,Fort Erie,-79.0045937147667,42.9366078923725
,Resurrection Lutheran Church LCC,905-688-1226,Yes,Lutheran,226 Lockhart Drive ,City of St. Catharines,L2T3P8,ST7,St. Catharines,-79.2390867463516,43.1274680163104
,St. John's Anglican Church,905-562-7238,Yes,Anglican,3694 Mckenzie Drive ,Town of Lincoln,L2R6P9,LN4,Lincoln,-79.3662265251616,43.1426083367
,St. Andrews Presbyterian,905-563-0558,Yes,Presbyterian,4260 Queen Street ,Town of Lincoln,L0R1B0,LN2,Lincoln,-79.4773197016525,43.1645084547166
,St. James Anglican Church,905-682-8853,Yes,Anglican,405 Merritt Street ,City of St. Catharines,L2P1P5,ST8,St. Catharines,-79.2144391523691,43.1430739366785
,St. Alban's,905-563-4518,Yes,Anglican,4341 Ontario Street ,Town of Lincoln,L0R1B0,LN1,Lincoln,-79.4760684144561,43.1680287247845
,Christian Science Church,905-356-6636,No,Christian Science,4940 Jepson Street ,City of Niagara Falls,L2E4B7,NF2,Niagara Falls,-79.0755467742853,43.1001790131473
,The Salvation Army,905-935-4804,Yes,Salvation Army,400 Niagara Street ,City of St. Catharines,L2M7N5,ST13,St. Catharines,-79.2248455008807,43.1871481779831
,Smithville United Church,905-957-4404,No,United,116 West Street ,Township of West Lincoln,L0R2A0,WL1,West Lincoln,-79.5479438360451,43.099791179816
,Scott Street Mennonite Brethren Church,905-937-6900,Yes,Mennonite Brethren,339 Scott Street ,City of St. Catharines,L2N1J7,ST16,St. Catharines,-79.2323272338864,43.188356157267
,Trinity Orthodox Reformed Church,905-935-8322,Yes,Reformed,99 Pine Street South,City of Thorold,L2V3L9,TH2,Thorold,-79.2031931898626,43.1183915039849
,Pelham Evangelical Friends,905-892-6881,Yes,Friends,940 Haist Street ,Town of Pelham,L0S1E4,PE3,Pelham,-79.2959988237899,43.0195504550379
,Niagara United Mennonite Church,905-468-3313,Yes,Mennonite Brethren,1775 Niagara Stone Road ,Town of Niagara-on-the-Lake,L0S1J0,NOTL1,Niagara-on-the-Lake,-79.1093850940405,43.2312625346291
,Central Gospel Temple,905-937-5610,Yes,Pentecostal Assemblies,240 Scott Street ,City of St. Catharines,L2R7R7,ST12,St. Catharines,-79.2427326060774,43.1835943131275
,All Saints Anglican Church Ridgeway,905-894-3350,Yes,Anglican,149 South Mill Street ,Town of Fort Erie,L0S1N0,FE3,Fort Erie,-79.0540287119727,42.8788477903789
,Church of Jesus Christ of Latter Day Saints,905-892-6595,Yes,Church of Jesus Christ,904 South Pelham Road ,City of Welland,L3C3E1,WD11,Welland,-79.284856188371,43.0171673001804
,Boyle Brethren in Christ Church,905-386-0044,No,Brethren in Christ,1306 Boyle Road ,Township of West Lincoln,L0R1Y0,WL3,West Lincoln,-79.4124130813342,43.030935871759
,Trinity United Hall,905-945-2249,Yes,United,100 Main Street West,Town of Grimsby,L3M1R7,GR3,Grimsby,-79.5654944901336,43.1946414604305
,St. Saviour's Anglican Church,905-262-5111,Yes,Anglican,12 Princess Street ,Town of Niagara-on-the-Lake,L0S1L0,NOTL2,Niagara-on-the-Lake,-79.0536900836683,43.1659005838102
,The Fathers House,905-641-0102,Yes,Christian,42 Fox Trail Drive ,City of St. Catharines,L2N5W6,ST4,St. Catharines,-79.2713025803719,43.1360649229784
,Victory Christian Centre,905-894-3300,Yes,Non-Denominational,385 Derby Road ,Town of Fort Erie,L0S1J0,FE2,Fort Erie,-79.061540250174,42.8649726412744
,South Minister United Church,905-354-2125,No,United,6801 Hagar Avenue ,City of Niagara Falls,L2G5M5,NF3,Niagara Falls,-79.1093073363632,43.076701977335
,Ukrainian Orthodox Church of St. George,905-937-3636,Yes,Ukrainian Orthodox,8 Augusta Avenue ,City of St. Catharines,L2M5R2,ST13,St. Catharines,-79.2239477031709,43.176554458331
,First Mennonite Church,905-562-5944,Yes,Mennonite Brethren,3571 King Street ,Town of Lincoln,L0R2C0,LN3,Lincoln,-79.4024996161581,43.1544210632805
,Star of the Sea Church,905-934-1170,Yes,Roman Catholic,34 Elgin Street ,City of St. Catharines,L2N5G5,ST2,St. Catharines,-79.2730094167932,43.1997464670643
,St. Joseph's Roman CatholicChurch,905-382-3826,Yes,Roman Catholic,3718 Netherby Road ,Town of Fort Erie,L0S1S0,FE1,Fort Erie,-79.0554216806802,42.9640700812199
,St. David's Anglican Church,905-734-4627,Yes,Anglican,369 Thorold Road ,City of Welland,L3C3W4,WD12,Welland,-79.2737016451932,43.0034560764418
,Church of Christ,905-563-7655,Yes,Church of Christ,4900 John Street ,Town of Lincoln,L0R1B6,LN1,Lincoln,-79.4710130887965,43.1709469325446
,Emmanuel United Church,905-386-6238,No,United,5135 Canborough Road ,Township of West Lincoln,L0R2J0,WL3,West Lincoln,-79.4785018581988,43.0049262677231
,Smithville Church of Christ,905-957-6039,No,Church of Christ,246 Station Street ,Township of West Lincoln,L0R2A0,WL1,West Lincoln,-79.5455847190445,43.1010797141263
,First Grantham United Church,905-935-5369,Yes,United,415 Linwell Road ,City of St. Catharines,L2M2P3,ST16,St. Catharines,-79.2240752892223,43.2007941096701
,Vineland United Church,905-562-4515,Yes,United,4402 Victoria Avenue ,Town of Lincoln,L0R2E0,LN3,Lincoln,-79.3946817321554,43.1738304799978
,St. John Ukrainian Catholic Church,905-937-3393,Yes,Ukrainian Catholic,91 Lakeshore Road ,City of St. Catharines,L2N2T6,ST18,St. Catharines,-79.2455010617326,43.2035813391351
,Riverside Community Church,Not Available,No,Brethren in Christ,1587 College Road ,Town of Fort Erie,L2A5M4,FE1,Fort Erie,-78.9791077489338,42.956064277816
,Faith Evangelical Lutheran Church,905-934-2434,Yes,Lutheran,27-31 Agar Drive ,City of St. Catharines,L2R6Z4,ST15,St. Catharines,-79.2249502657319,43.1924898569807
,Our Saviour Lutheran Church,905-354-8881,Yes,Lutheran,7081 Mcleod Road ,City of Niagara Falls,L2G3H1,NF3,Niagara Falls,-79.1134384177892,43.0707612039169
,St. John's Anglican Church,905-227-5431,Yes,Anglican,24 Clairmont Street ,City of Thorold,L2V2C1,TH2,Thorold,-79.1986599056106,43.1238240886897
,Stamford United Church,905-354-8841,Yes,United,3855 Saint Peter Avenue ,City of Niagara Falls,L2J2N7,NF1,Niagara Falls,-79.1017423980761,43.1173157202359
,Church of the Transfiguration,905-684-0722,Yes,Anglican,320 Glenridge Avenue ,City of St. Catharines,L2T3K7,ST7,St. Catharines,-79.2397688174545,43.1340004197094
,St. George's Chapel,905-357-0266,Yes,Anglican-Independent,7701 Lundy's Lane ,City of Niagara Falls,L2H1H3,NF5,Niagara Falls,-79.1256535325341,43.0892311598167
,Holy Rosary Church,905-227-3178,Yes,Roman Catholic,21 Queen Street South,City of Thorold,L2V3M7,TH2,Thorold,-79.2055827145201,43.1232960006892
,Scottlea Gospel Chapel,905-646-0761,Yes,Gospel,500 Scott Street ,City of St. Catharines,L2T2Z5,ST13,St. Catharines,-79.2166743220432,43.19285914666
,Grace Evangelical Lutheran Church LCC,905-646-0113,Yes,Lutheran,213 Linwell Road ,City of St. Catharines,L2N1S1,ST17,St. Catharines,-79.2453818312581,43.193307450162
,Ukrainian Greek Orthodox Church Hall,905-735-9789,Yes,Ukrainian Greek Orthodox,105 First Street ,City of Welland,L3B4S1,WD4,Welland,-79.2456303481605,42.9826737892891
,First Baptist Church,905-734-3312,Yes,Baptist,165 Sydney Place ,City of Welland,L3C2A7,WD8,Welland,-79.2610952676636,42.9934836390278
,Full Gospel Temple,905-646-0364,Yes,Pentecostal Assemblies,376 Carlton Street ,City of St. Catharines,L2M4W6,ST13,St. Catharines,-79.2283233509595,43.1792869939618
,St. Andrews Knox Presbyterian Church,905-871-3450,Yes,Presbyterian,203 Highland Avenue ,Town of Fort Erie,L2A2X8,FE4,Fort Erie,-78.9193975951383,42.9337949260386
,Our Lady of Perpetual Help Church,905-937-4230,Yes,Roman Catholic,5 Oblate Street ,City of St. Catharines,L2M5C5,ST13,St. Catharines,-79.2242382713901,43.1790805978324
,St. Alexanders Church,905-892-3090,Yes,Roman Catholic,28 Highway 20  ,Town of Pelham,L3C7C1,PE2,Pelham,-79.2810568224643,43.0465173663581
,Forks Road East United Church,905-899-2371,Yes,United,41786 Forks Road ,Township of Wainfleet,L0S1V0,WF1,Wainfleet,-79.3679644274029,42.9449181825631
,Cathedral of St. Luke,905-354-2329,Yes,Christ Catholic,5165 Palmer Avenue ,City of Niagara Falls,L2E3T9,NF2,Niagara Falls,-79.0679152461732,43.0995866318753
,St. Francis Church,905-295-6784,No,Christ Catholic,8307 Willoughby Drive ,City of Niagara Falls,L2E3T9,NF4,Niagara Falls,-79.0490663439687,43.0573064607311
,Redeemer Bible Church,905-356-6888,Yes,Associated Gospel Church,3017 Montrose Road ,City of Niagara Falls,L2E6V6,NF6,Niagara Falls,-79.1278432347376,43.1293321161805
,Jubilee Fellowship CRC,905-687-3372,Yes,Christian Reformed,20 Third Avenue Louth ,City of St. Catharines,L2R7R8,ST3,St. Catharines,-79.2788862314042,43.1636590296158
,Our Lady of Hungary,905-734-3772,Yes,Roman Catholic,337 Hellems Avenue ,City of Welland,L3B3C2,WD4,Welland,-79.2469759716265,42.9851167066634
,Jehovah's Witnesses Kingdom Hall,905-374-3866,Yes,Jehovah's Witnesses,6457 Montrose Road ,City of Niagara Falls,L2H1M1,NF5,Niagara Falls,-79.1238603779769,43.0812846461028
,Downtown Gospel Centre,905-988-9888,Yes,Christian,132 King Street ,City of St. Catharines,L2M7X2,ST10,St. Catharines,-79.2447910384996,43.1596300287926
,Grace United Brethren Church,905-894-3462,Yes,United Brethren,895 Empire Road ,City of Port Colborne,L0S1R0,PC4,Port Colborne,-79.1341752679087,42.8881641459147
,Bismark United Church,905-386-6590,Yes,United,5523 Bismark Road ,Township of West Lincoln,L0R2A0,WL3,West Lincoln,-79.5041562993649,43.0410974292683
,Morrison Street United Church,905-354-9452,Yes,United,4531 Morrison Street ,City of Niagara Falls,L2E2B6,NF2,Niagara Falls,-79.0680956560421,43.1048746121411
,St. George's Ukranian Greek Orthodox Church,905-945-3770,Yes,Greek Orthodox,19 Ontario Street ,Town of Grimsby,L3M3G8,GR4,Grimsby,-79.5596878928005,43.1944175846107
,Calvary Gospel Church,905-735-1293,Yes,Associated Gospel Church,735 South Pelham Road ,City of Welland,L3C3C9,WD11,Welland,-79.2864757582398,43.0104348270268
,Rockway Canadian Reformed Church,905-563-9933,Yes,Reformed Church in Canada,3981 Spring Creek Road ,Town of Lincoln,L0R1S0,LN4,Lincoln,-79.420715264648,43.1048915057142
,Emmanuel Lutheran,905-563-4362,Yes,Lutheran,5001 George Street ,Town of Lincoln,L0R1B0,LN2,Lincoln,-79.476557484794,43.158420228572
,Church of the Resurrection,905-684-2307,Yes,Congregational Christian,124 Queenston Street ,City of St. Catharines,L2R2Z7,ST9,St. Catharines,-79.2322397587466,43.1631916375925
,Trinity Lutheran Church,905-871-2883,Yes,Lutheran,171 Bertie Street ,Town of Fort Erie,L2A1Y9,FE4,Fort Erie,-78.9198474314,42.9132116221525
,First Lutheran Church,905-835-8111,Yes,Lutheran,688 Elm Street ,City of Port Colborne,L3K4R1,PC1,Port Colborne,-79.2554247258218,42.8965477908824
,Fountain of Life Fellowship,905-734-3645,Yes,Foursquare,120 Courtney Crescent ,City of Welland,L3C7H9,WD9,Welland,-79.241453510912,43.0251887865181
,Grace Gospel Church,905-354-2811,Yes,Associated Gospel Church,5855 Valley Way ,City of Niagara Falls,L2E1X9,NF2,Niagara Falls,-79.0915364985909,43.098513083213
,Vineland Missionary,905-562-7141,Yes,Missionary,3874 Victoria Avenue ,Town of Lincoln,L0R2C0,LN4,Lincoln,-79.393529179086,43.1497720113379
,Silverdale United Church,905-957-7538,No,United,4595 Sixteen Road ,Township of West Lincoln,L0R1Y0,WL3,West Lincoln,-79.4539337956074,43.0759791905526
,Lakeshore Baptist Church,905-935-5868,Yes,Baptist,63 Lakeshore Road ,City of St. Catharines,L2N2T3,ST18,St. Catharines,-79.2481763036441,43.2021200723127
,Freedom Point Church,905-682-3830,Yes,Brethren Assemblies,2 White Street ,City of St. Catharines,L2N4X7,ST16,St. Catharines,-79.2358139263784,43.1876758350486
,Church of Jesus Christ of Latter Day Saints,905-262-4672,Yes,Church of Jesus Christ,785 Warner Road ,Town of Niagara-on-the-Lake,L0S1T0,NOTL4,Niagara-on-the-Lake,-79.1055796841236,43.1562609680401
,Church of Christ,905-935-9581,Yes,Church of Christ,439 Ontario Street ,City of St. Catharines,L2N4M9,ST2,St. Catharines,-79.2656467695454,43.1856412328319
,Canadian Reformed Church of Lincoln,905-563-4882,Yes,Canadian Reformed Church,4628 John Street ,Town of Lincoln,L3M4E7,LN1,Lincoln,-79.4574531282457,43.1710999113961
,Maranatha Reformed Church,905-899-1336,Yes,Reformed,42817 Highway 3  ,Township of Wainfleet,L0S1V0,WF1,Wainfleet,-79.421003865788,42.9430176468536
,Knox Presbyterian Church,905-735-3050,Yes,Presbyterian,335 Fitch Street ,City of Welland,L3C4W7,WD12,Welland,-79.2722291227261,42.9941057789093
,Pilgrim Holiness Church,905-732-0226,Yes,Pilgrim Holiness,119 Division Street ,City of Welland,L3B3Z8,WD3,Welland,-79.247138166511,42.9910056334616
,St. Andrew's Presbyterian,905-734-4831,Yes,Presbyterian,29 Bald Street ,City of Welland,L3C5B7,WD3,Welland,-79.2530093114895,42.9904617447505
,Community of Christ,905-354-1640,Yes,Reorganized Church Jesus Christ,4865 Saint Lawrence Avenue ,City of Niagara Falls,L3K3R7,NF2,Niagara Falls,-79.0706253559216,43.1036754327095
,Central United Church,905-735-2333,Yes,United,12 Young Street ,City of Welland,L3B4C4,WD3,Welland,-79.2505166872611,42.98973446976
,New Hope Church Niagara,905-562-3367,Yes,Christian,3872 Nineteenth Street ,Town of Lincoln,L0R1S0,LN3,Lincoln,-79.3694604401047,43.150807286031
,Mountainview Christian Reformed Church,905-945-0004,Yes,Christian Reformed,290 Main Street East,Town of Grimsby,L3M1P8,GR6,Grimsby,-79.5220133507067,43.1838542985917
,Elm Street United Church,905-641-0950,Yes,United,11 Elm Lane ,City of St. Catharines,L2P2B6,ST8,St. Catharines,-79.2158269156595,43.1425999976
,Church of Christ,905-356-3412,Yes,Church of Christ,3879 Dorchester Road ,City of Niagara Falls,L2J1S8,NF1,Niagara Falls,-79.1124627558934,43.11646603422
,Christian Life Centre United Pentecostal Church,905-945-1676,Yes,Pentecostal,265 Main Street East,Town of Grimsby,L3M1P7,GR6,Grimsby,-79.5268430834388,43.1854632683993
,Portal Village Bible Chapel,905-835-5656,Yes,Gospel,309 Elgin Street ,City of Port Colborne,L3K6A2,PC1,Port Colborne,-79.2626292455205,42.8887880473757
,Welland Avenue United Church,905-685-7793,Yes,United,79 Welland Avenue ,City of St. Catharines,L2R5T2,ST11,St. Catharines,-79.2491787774874,43.1628154278249
,St. Vincent de Paul,905-468-7272,Yes,Roman Catholic,73 Picton Street ,Town of Niagara-on-the-Lake,L0S1J0,NOTL1,Niagara-on-the-Lake,-79.067732526667,43.2538195836117
,Paroisse Immaculee Conception,905-934-4266,Yes,Roman Catholic,99 Garnet Street ,City of St. Catharines,L2M5G3,ST13,St. Catharines,-79.2220843143694,43.1797475440665
,St. Patrick's Church,905-834-6426,Yes,Roman Catholic,123 King Street ,City of Port Colborne,L2R6Y3,PC1,Port Colborne,-79.2507431586615,42.8834980965972
,Bethany United Mennonite Church,905-468-3505,Yes,Mennonite Brethren,572 East and West Line ,Town of Niagara-on-the-Lake,L0S1T0,NOTL3,Niagara-on-the-Lake,-79.125921670856,43.2339414978184
,St. Archangel Michael Serbian Orthodox Church,905-358-7363,Yes,Orthodox,4992 Huron Street ,City of Niagara Falls,L2E2J5,NF2,Niagara Falls,-79.0767453876085,43.1055722973316
,Kirk-on-the-Hill Presbyterian Church,905-892-3729,Yes,Presbyterian,1344 Haist Street ,Town of Pelham,L0S1E0,PE2,Pelham,-79.2953543572868,43.0383914556383
,St. James Anglican Church,905-834-3184,Yes,Anglican,55 Charlotte Street ,City of Port Colborne,L3K3C9,PC1,Port Colborne,-79.2516657193967,42.8853990642982
,Westview Christian Fellowship,905-687-4848,Yes,Mennonite Brethren,112 Oakdale Avenue ,City of St. Catharines,L2R7P4,ST8,St. Catharines,-79.2190985932766,43.1458257519075
,Jehovah's Witness Kingdom Hall,905-871-5262,Yes,Jehovah's Witnesses,530 Walden Boulevard ,Town of Fort Erie,L0S1B0,FE6,Fort Erie,-78.9338336360494,42.9062677455668
,Wellandport Riverside Christian Reformed Church,905-386-6282,Yes,Christian Reformed,74094 Wellandport Road ,Township of Wainfleet,L0R2J0,WF1,Wainfleet,-79.4807991261988,42.9977174387672
,Church of Christ,905-562-4739,Yes,Church of Christ,2861 King Street ,Town of Lincoln,L0R1S0,LN3,Lincoln,-79.3668600074707,43.1449476252465
,Faith Reformed Church,905-382-2914,Yes,Reformed,3605 Black Creek Road ,Town of Fort Erie,L0S1S0,FE1,Fort Erie,-79.0263415860199,42.9730206813012
,St. Luke's Lutheran Church,905-894-3799,Yes,Lutheran,245 Prospect Point Road North,Town of Fort Erie,L0S1N0,FE3,Fort Erie,-79.04919318627,42.8814930037795
,Maranatha Christian Reformed Church,905-934-0631,Yes,Christian Reformed,303 Scott Street ,City of St. Catharines,L2N1J4,ST16,St. Catharines,-79.236796257525,43.1867895945939
,Lakemount Worship Centre,905-945-8888,Yes,Pentecostal Assemblies,54 North Service Road ,Town of Grimsby,L3M1Y8,GR4,Grimsby,-79.5700346892607,43.2016583485108
,Holy Trinity Anglican Church,905-892-6011,Yes,Anglican,1557 Pelham Street ,Town of Pelham,L0S1E0,PE2,Pelham,-79.2848433587832,43.0479676127497
,Canada Toronto West,905-345-1000,Yes,Church of Jesus Christ,68 Rolls Avenue ,City of St. Catharines,L2M3B7,ST12,St. Catharines,-79.2324481985248,43.1774760607591
,St. George's Anglican Church,905-682-9232,Yes,Anglican,83 Church Street ,City of St. Catharines,L2R3C7,ST10,St. Catharines,-79.2463065174604,43.1613967727762
,B'Nai Israel Synagogue,905-685-6767,Yes,Traditional Judaism,190 Church Street ,City of St. Catharines,L2R3E9,ST9,St. Catharines,-79.237317769951,43.1634730223802
,Christ Community Church,905-732-6010,Yes,Reformed Church of America,224 Division Street ,City of Welland,L3B4A2,WD3,Welland,-79.2439614274672,42.9921622629645
,Gateway Christian Fellowship,905-938-8000,Yes,Mennonite Brethren,33 Lakeshore Road ,City of St. Catharines,L2N4H5,ST17,St. Catharines,-79.2541006228052,43.1998678331337
,Central United Church,905-834-4533,Yes,United,30 Delhi Street ,City of Port Colborne,L3K3K6,PC2,Port Colborne,-79.2527291384399,42.8893724579268
,St. Davids - Queenston United Church,905-262-5242,Yes,United,1453 York Road ,Town of Niagara-on-the-Lake,L0S1P0,NOTL2,Niagara-on-the-Lake,-79.0994857986025,43.1581093055387
,Rice Road Free Community Church,905-735-5898,No,Free Methodist,305 Rice Road ,City of Welland,L3C2V9,WD11,Welland,-79.2711595996581,43.017177022669
,St. Anthoine De Padoue Roman Catholic Church,905-358-5549,Yes,Roman Catholic,4570 Portage Road ,City of Niagara Falls,L2R6Y3,NF1,Niagara Falls,-79.0946804854498,43.1072822340812
,Church of Christ,905-945-3058,Yes,Church of Christ,63 Casablanca Boulevard ,Town of Grimsby,L3M2T9,GR2,Grimsby,-79.5955824335703,43.2023077507586
,St. Paul Street United Church,905-682-8328,Yes,United,366 Saint Paul Street ,City of St. Catharines,L2R3N2,ST10,St. Catharines,-79.2410164715887,43.1602629740183
,St. Theresa's Church,905-899-1222,Yes,Roman Catholic,12394 Lakeshore Road ,Township of Wainfleet,L0S1V0,WF1,Wainfleet,-79.3958571938441,42.8714095340548
,St. Helen's Roman Catholic,905-562-0329,Yes,Roman Catholic,4156 Maple Grove Road ,Town of Lincoln,L0R2C0,LN1,Lincoln,-79.4239640090319,43.1611258358937
,Jehovah's Witnesses Kingdom Hall,905-374-2684,Yes,Jehovah's Witnesses,5993 Stanley Avenue ,City of Niagara Falls,L2G3Y2,NF3,Niagara Falls,-79.0852455685218,43.0878974146929
,First Presbyterian Church,905-834-4288,Yes,Presbyterian,176 Elm Street ,City of Port Colborne,L3K4N6,PC1,Port Colborne,-79.2554665401504,42.8846193739722
,Fairview Mennonite Brethren Church,905-934-3398,Yes,Mennonite Brethren,455 Geneva Street ,City of St. Catharines,L2N2H2,ST17,St. Catharines,-79.2423265695692,43.1894827485998
,Calvary Church,905-935-3683,Yes,Associated Gospel Church,89 Scott Street ,City of St. Catharines,L2N1G8,ST17,St. Catharines,-79.2570748513686,43.1799474095241
,Wainfleet Congregational Christian Church,905-834-5477,Yes,Congregational Christian,10611 Highway 3  ,Township of Wainfleet,L0S1V0,WF1,Wainfleet,-79.3055342299243,42.891006693945
,First Baptist Church,905-354-7836,Yes,Baptist,4519 Pettit Avenue ,City of Niagara Falls,L2E6K9,NF1,Niagara Falls,-79.1064875329481,43.1076829272311
,St. Jean de Brebeuf Church,905-835-0202,Yes,Roman Catholic,300 Killaly Street East,City of Port Colborne,L2R6Y3,PC2,Port Colborne,-79.2374418002253,42.8921237622346
,Niagara Gospel Centre,905-937-2302,Yes,Pentecostal Holiness ,60 Facer Street ,City of St. Catharines,L2M5J1,ST13,St. Catharines,-79.2244246053008,43.1758840466954
,Garden City Baptist Church,905-937-1004,Yes,Baptist,265 Linwell Road ,City of St. Catharines,L2N1S4,ST16,St. Catharines,-79.2407945558828,43.1946833698632
,Korean Presbyterian Church,905-354-0191,Yes,Presbyterian,4898 Kitchener Street ,City of Niagara Falls,L2G1A7,NF2,Niagara Falls,-79.0743735813086,43.0953913390746
,Fort Erie Alliance Church,905-871-1001,Yes,Christian & Missionary,118 Bertie Street ,Town of Fort Erie,L2A1Y4,FE4,Fort Erie,-78.9170112525435,42.9127206421366
,St. Michael's Church,905-871-9187,Yes,Roman Catholic,310 Central Avenue ,Town of Fort Erie,L2A3T3,FE4,Fort Erie,-78.9182993456004,42.919103501911
,St. Thomas Aquinas Roman Catholic Church,905-687-6971,Yes,Anglican,316 Queenston Street ,City of St. Catharines,L2P2X4,ST9,St. Catharines,-79.2177271881928,43.1592483283105
,Niagara Korean Presbyterian Church,905-685-7455,Yes,Presbyterian,3585 Nineth Street ,Town of Lincoln,L2R6P7,LN4,Lincoln,-79.3164838732893,43.140067521598
,St. Brendan the Navigator Anglican Church,905-835-8631,Yes,Anglican,480 Northland Avenue ,City of Port Colborne,L3K4B2,PC3,Port Colborne,-79.2628115174187,42.9065565733575
,Ukrainian Evangelical Baptist Church,905-646-1955,Yes,Baptist,317 Niagara Street ,City of St. Catharines,L2M4V9,ST12,St. Catharines,-79.2274743071635,43.1805927321232
,Drummond Hill Presbyterian,905-358-9624,Yes,Presbyterian,6136 Lundy's Lane ,City of Niagara Falls,L2G1T1,NF3,Niagara Falls,-79.0961044223326,43.0891186910948
,Church of God in Canada Cleveland Tenn,905-295-6959,Yes,Pentecostal,8652 Sodom Road ,City of Niagara Falls,L2G7B1,NF4,Niagara Falls,-79.0587140667576,43.0521701250837
,St. Julia Church,905-684-5603,Yes,Roman Catholic,251 Glenridge Avenue ,City of St. Catharines,L2R4C2,ST6,St. Catharines,-79.2386977960732,43.1391491561975
,West St. Andrew's Presbyterian Church,905-684-7765,Yes,Presbyterian,42 Pelham Road ,City of St. Catharines,L2S1R4,ST5,St. Catharines,-79.2511252184448,43.1443700140148
,Trinity Lutheran Church,905-468-2611,Yes,Lutheran,2027 Niagara Stone Road ,Town of Niagara-on-the-Lake,L0S1J0,NOTL1,Niagara-on-the-Lake,-79.1006007575726,43.2386829881278
,First Baptist Church,905-563-8448,Yes,Baptist,4264 Mountain Street ,Town of Lincoln,L0R1B0,LN2,Lincoln,-79.4765106859106,43.1643945618565
,Christ Church  McNab,905-646-0209,Yes,Anglican,1294 Mcnab Road ,Town of Niagara-on-the-Lake,L0S1J0,NOTL3,Niagara-on-the-Lake,-79.1822870349985,43.2263587199423
,St. Ann's Roman Catholic Church,905-358-9333,Yes,Roman Catholic,5740 Buchanan Avenue ,City of Niagara Falls,L2G3V3,NF3,Niagara Falls,-79.0834490818062,43.0913836286003
,Jehovah's Witnesses Kingdom Hall,905-682-0854,Yes,Jehovah's Witnesses,134 Louth Street ,City of St. Catharines,L2T2M7,ST5,St. Catharines,-79.2592778733777,43.1392579407694
,People's Memorial United Church,905-894-3500,Yes,United,366 Ridge Road North,Town of Fort Erie,L0S1S0,FE3,Fort Erie,-79.0517074005462,42.8847365275906
,Fenwick United Church,905-892-3081,Yes,United,1050 Church Road ,Town of Pelham,L0S1C0,PE4,Pelham,-79.3627715029539,43.0237090499026
,Christian Life Assembly,905-834-4313,Yes,Pentecostal Assemblies,484 Barrick Road ,City of Port Colborne,L3K4B7,PC3,Port Colborne,-79.2647207547898,42.9095874287948
,New Testament Baptist Church,905-937-7881,Yes,Baptist,12-14 Dixie Road ,City of St. Catharines,L2N2A8,ST12,St. Catharines,-79.2362676000689,43.1794845016654
,Christian Reformed Church,905-957-2116,No,Christian Reformed,6522 Townline Road ,Township of West Lincoln,L0R1Y0,WL1,West Lincoln,-79.5575512338945,43.0906363204964
,Welland Gospel Hall,905-732-2021,Yes,Non-Denominational,405 Lyons Creek Road ,City of Welland,L3B5N4,WD1,Welland,-79.200026731786,42.9930024437851
